File name,Literal,Label,Code
cell=VT_1909_01_T-S0-A9,AAGTEKERKE,aagtekerke,10531
cell=VT_1909_01_T-S0-A10,Het Armhuis,aagtekerke,10531
cell=VT_1909_01_T-S0-A11,Overige huizen,aagtekerke,10531
cell=VT_1909_01_T-S0-A12,Totaal,aagtekerke,10531
cell=VT_1909_01_T-S0-A13,AALSMEER,aalsmeer,11264
cell=VT_1909_01_T-S0-A14,"Wijk I. Oosteinde, Huizen",aalsmeer,11264
cell=VT_1909_01_T-S0-A15,"Wijk II. Dorp, Wees- en bestedelingenhuis",aalsmeer,11264
cell=VT_1909_01_T-S0-A16,"Wijk II. Dorp, Overige huizen",aalsmeer,11264
cell=VT_1909_01_T-S0-A17,"Wijk III. Uiterweg, Huizen",aalsmeer,11264
cell=VT_1909_01_T-S0-A18,"Wijk IV. Kudelstaart, Huizen.",aalsmeer,11264
cell=VT_1909_01_T-S0-A19,Schepen,aalsmeer,11264
cell=VT_1909_01_T-S0-A20,Ark,aalsmeer,11264
cell=VT_1909_01_T-S0-A21,Niet gevonden personen,aalsmeer,11264
cell=VT_1909_01_T-S0-A22,Totaal,aalsmeer,11264
cell=VT_1909_01_T-S0-A23,AALST,aalst,11423
cell=VT_1909_01_T-S0-A24,"Achtereind, Huizen",aalst,11423
cell=VT_1909_01_T-S0-A25,"Ekenrooi, Huizen.",aalst,11423
cell=VT_1909_01_T-S0-A26,"Kerkeind, St. Barbara Gesticht",aalst,11423
cell=VT_1909_01_T-S0-A27,"Kerkeind, Overige huizen",aalst,11423
cell=VT_1909_01_T-S0-A28,"Laareind, Huizen",aalst,11423
cell=VT_1909_01_T-S0-A29,Totaal,aalst,11423
cell=VT_1909_01_T-S0-A30,AALTEN,aalten,11046
cell=VT_1909_01_T-S0-A31,Wijk A. St. Elisabeth Gesticht,aalten,11046
cell=VT_1909_01_T-S0-A32,Wijk A. Overige huizen,aalten,11046
cell=VT_1909_01_T-S0-A33,Wijk B. Huizen,aalten,11046
cell=VT_1909_01_T-S0-A34,Wijk C. Huizen,aalten,11046
cell=VT_1909_01_T-S0-A35,"Haart, Huizen",aalten,11046
cell=VT_1909_01_T-S0-A36,"Heurne, Huizen",aalten,11046
cell=VT_1909_01_T-S0-A37,"Ijzerlo, Huizen",aalten,11046
cell=VT_1909_01_T-S0-A38,"Lintelo, Huizen",aalten,11046
cell=VT_1909_01_T-S0-A39,"Dale, Huizen",aalten,11046
cell=VT_1909_01_T-S0-A40,"Barlo, Huizen",aalten,11046
cell=VT_1909_01_T-S0-A41,"Bredevoort, St. Bernardusgesticht",aalten,11046
cell=VT_1909_01_T-S0-A42,"Bredevoort, Overige huizen",aalten,11046
cell=VT_1909_01_T-S0-A43,Woonwagens,aalten,11046
cell=VT_1909_01_T-S0-A44,Tijd. Aanw. Woonwagens,aalten,11046
cell=VT_1909_01_T-S0-A45,Niet gevonden personen,aalten,11046
cell=VT_1909_01_T-S0-A46,Totaal,aalten,11046
cell=VT_1909_01_T-S0-A47,TER AAR,ter aar,11104
cell=VT_1909_01_T-S0-A48,"Wijk A. Langeraar, R.-Kath. Par. Armhuis",ter aar,11104
cell=VT_1909_01_T-S0-A49,"Wijk A. Langeraar, Overige huizen",ter aar,11104
cell=VT_1909_01_T-S0-A50,TER AAR (Vervolg),ter aar,11104
cell=VT_1909_01_T-S0-A51,"Wijk B. Kerkbuurt, Huizen",ter aar,11104
cell=VT_1909_01_T-S0-A52,"Wijk B. Ringsloot, Huizen",ter aar,11104
cell=VT_1909_01_T-S0-A53,"Wijk C. Aardam, Huizen",ter aar,11104
cell=VT_1909_01_T-S0-A54,"Wijk C. Jaagpad, Huizen",ter aar,11104
cell=VT_1909_01_T-S0-A55,"Wijk D. Korteraar, Huizen",ter aar,11104
cell=VT_1909_01_T-S0-A56,Schepen,ter aar,11104
cell=VT_1909_01_T-S0-A57,Totaal,ter aar,11104
cell=VT_1909_01_T-S0-A58,AARDENBURG,aardenburg,11020
cell=VT_1909_01_T-S0-A59,"Wijk Stad, Burgergasthuis",aardenburg,11020
cell=VT_1909_01_T-S0-A60,"Wijk Stad, Marechaussee kazerne",aardenburg,11020
cell=VT_1909_01_T-S0-A61,"Wijk Stad, Overige huizen",aardenburg,11020
cell=VT_1909_01_T-S0-A62,"Wijk Buiten, Huizen",aardenburg,11020
cell=VT_1909_01_T-S0-A63,Totaal,aardenburg,11020
cell=VT_1909_01_T-S0-A64,AARLANDERVEEN,aarlanderveen,11242
cell=VT_1909_01_T-S0-A65,Wijk I. Huizen,aarlanderveen,11242
cell=VT_1909_01_T-S0-A66,Wijk II. Huizen,aarlanderveen,11242
cell=VT_1909_01_T-S0-A67,Wijk III. Huizen,aarlanderveen,11242
