File name,Literal,Label,Code
cell=VT_1859_01_H1-S0-C8,buiten de kom. achtereind,BuitenKom
cell=VT_1859_01_H1-S0-C9,buiten de kom. eikenrode,BuitenKom
cell=VT_1859_01_H1-S0-C10,kom. kerkeind,BinnenKom
cell=VT_1859_01_H1-S0-C11,buiten de kom. laareind,BuitenKom
cell=VT_1859_01_H1-S0-C14,kom. wijk a dorpstraat,BinnenKom
cell=VT_1859_01_H1-S0-C15,buiten de kom. wijk a kerkstraat,BuitenKom
cell=VT_1859_01_H1-S0-C16,kom. wijk b dorpstraat,BinnenKom
cell=VT_1859_01_H1-S0-C17,kom. wijk b kouwenberg,BinnenKom
cell=VT_1859_01_H1-S0-C18,buiten de kom. wijk b rixtel,BuitenKom
cell=VT_1859_01_H1-S0-C19,buiten de kom. wijk b overbrug,BuitenKom
cell=VT_1859_01_H1-S0-C20,buiten de kom. wijk b strijp,BuitenKom
cell=VT_1859_01_H1-S0-C21,buiten de kom. wijk b koppel,BuitenKom
cell=VT_1859_01_H1-S0-C22,buiten de kom. wijk c broekkant,BuitenKom
cell=VT_1859_01_H1-S0-C23,buiten de kom. wijk c heikant,BuitenKom
cell=VT_1859_01_H1-S0-C27,kom. wijk a kessel,BinnenKom
cell=VT_1859_01_H1-S0-C28,kom. wijk b maren,BinnenKom
cell=VT_1859_01_H1-S0-C29,kom. wijk c alem,BinnenKom
cell=VT_1859_01_H1-S0-C31,buiten de kom. wijk d wild,BuitenKom
cell=VT_1859_01_H1-S0-C32,buiten de kom. geh. gewande,BuitenKom
cell=VT_1859_01_H1-S0-C33,buiten de kom. geh. steenoven,BuitenKom
cell=VT_1859_01_H1-S0-C36,almkerk. kom,BinnenKom
cell=VT_1859_01_H1-S0-C37,almkerk. buiten de kom. zandwijk,BuitenKom
cell=VT_1859_01_H1-S0-C38,almkerk. buiten de kom. uppelschendijk,BuitenKom
cell=VT_1859_01_H1-S0-C39,almkerk. buiten de kom. nieuwendijk,BuitenKom
cell=VT_1859_01_H1-S0-C40,kom. uitwijk,BinnenKom
cell=VT_1859_01_H1-S0-C44,wijk a alphen. kom,BinnenKom
cell=VT_1859_01_H1-S0-C45,wijk a alphen. buiten de kom,BuitenKom
cell=VT_1859_01_H1-S0-C46,wijk b riel. kom,BinnenKom
cell=VT_1859_01_H1-S0-C49,kom. op andel,BinnenKom
cell=VT_1859_01_H1-S0-C50,kom. neer andel,BinnenKom
cell=VT_1859_01_H1-S0-C51,kom. schepen,BinnenKom
cell=VT_1859_01_H1-S0-C53,kom. wijk a,BinnenKom
cell=VT_1859_01_H1-S0-C54,buiten de kom. wijk b oostade,BuitenKom
cell=VT_1859_01_H1-S0-C55,buiten de kom. wijk b vosselen,BuitenKom
cell=VT_1859_01_H1-S0-C56,buiten de kom. wijk b dijk,BuitenKom
cell=VT_1859_01_H1-S0-C57,buiten de kom. wijk b diesdonk,BuitenKom
cell=VT_1859_01_H1-S0-C58,buiten de kom. wijk b oostappen,BuitenKom
cell=VT_1859_01_H1-S0-C59,buiten de kom. wijk b ommel,BuitenKom
cell=VT_1859_01_H1-S0-C60,buiten de kom. wijk c stegen,BuitenKom
cell=VT_1859_01_H1-S0-C61,buiten de kom. wijk c voordeldonk,BuitenKom
cell=VT_1859_01_H1-S0-C62,buiten de kom. wijk d wolfsberg,BuitenKom
cell=VT_1859_01_H1-S0-C63,buiten de kom. wijk d heusden,BuitenKom
cell=VT_1859_01_H1-S0-C66,kom. regtestraat,BinnenKom
cell=VT_1859_01_H1-S0-C67,buiten de kom,BuitenKom
cell=VT_1859_01_H1-S0-C69,kom. wijk a cingel,BinnenKom
cell=VT_1859_01_H1-S0-C70,buiten de kom. wijk a loveren,BuitenKom
